Index,Composition,bandgap,spgN
379,Mg4 Ta8 Cu8 O32,0.3933000000000002,14
380,Co8 P8 O32,0.0,15
381,Ta8 Zn4 Cu8 O32,0.3660000000000001,14
382,Ca4 Ti8 Cu8 O32,0.6372,14
383,Fe8 P8 O36,0.0,1
384,Zn2 Bi6 P6 O26,2.3749,11
385,Y2 Mo6 F30,1.8009000000000002,11
386,Si16 Sn8 O48,3.2095,61
387,Y2 Fe6 F30,0.0,11
388,Ta2 W4 O16,0.0,13
389,V1 W2 O8,1.8724,2
390,Ca2 V4 O8,0.0,74
391,Ba2 Sb3 O8,0.0,123
392,Cr8 Si16 O48,1.6727999999999998,61
393,Bi4 As8 O28,0.02679999999999999,14
394,Zn4 Sn4 As8 O28,1.4058000000000002,14
395,Ca1 Cu3 Sb4 O12,0.0,204
396,Ca8 Fe8 Bi8 O40,0.0,61
397,Mg8 Fe8 Bi8 O40,0.0,61
398,Ca2 Fe4 O8,1.7561000000000004,8
399,Bi4 O10,0.0,63
400,Si16 Bi4 O40,0.0771,130
401,Mg2 Sn4 P4 O20,2.5620999999999996,43
402,Sr4 Al2 Cu4 Ni2 O14,0.057299999999999685,1
403,Zn4 Bi4 Sb4 O20,2.3091000000000004,14
404,Co4 Si16 O40,1.0566,130
405,La2 Zn2 Cr2 Fe2 O12,0.7851000000000008,7
406,Bi12 O28,0.0,62
407,Sr4 Cu4 Ni2 O14,0.0,1
408,Pr2 Mg2 Bi4 O12,0.0,31
409,Ba6 Sn6 F33,0.06769999999999987,145
410,Ca2 Pr2 W4 O12,1.3710999999999993,4
411,Mg4 Sb8 P8 O36,2.1411999999999995,62
412,Zn6 Sb12 O24,1.7036999999999995,1
413,La2 Mg2 Cr2 Co2 O12,0.8331,7
414,Zn6 Ag12 O24,0.0,8
415,La2 V2 Zn2 Cr2 O12,1.5343,7
416,Ca3 Ti4 S8,0.0,12
417,Y4 Ni12 O24,0.0,12
418,Mg2 Co4 S8,0.08230000000000004,74
419,Y2 V4 O8,0.8193999999999999,74
420,Ti9 O13,0.0,12
421,Li1 Co4 O8,0.0,12
422,Mg2 Mo4 O12,0.8715999999999999,7
423,Ta4 Ti2 Zn4 O16,0.0,1
424,Mg2 Co9 O13,0.0,2
425,Mn4 Zn4 O8,0.0389999999999997,2
426,Sr4 Ti2 Cu4 O14,0.0,1
427,Mg1 Bi4 O8,0.6780999999999997,1
428,Zn1 Sn4 O8,0.6476000000000006,1
429,Zn2 Co2 Si2 O10,0.0,1
430,Mg2 Co2 Si2 O10,0.0,1
431,Ca2 Cu8 O12,0.0,63
432,Ca4 Cu4 O8,0.1560999999999999,1
433,Zn6 Bi12 O24,1.3285999999999998,1
434,Ca4 Nb4 Mo2 O16,0.0,15
435,Cr2 Ir2 O12,0.0,14
436,Al2 Sn6 F30,2.7011000000000003,11
437,Al1 Mo1 W2 O8,2.3592,1
438,Mn4 Zn2 O8,0.0,63
439,Ba2 Y2 Cu8 O14,0.0,186
440,Ba2 Ca3 Mn4 Tl2 O12,0.0,139
441,Mg2 Sb4 O12,1.5252,31
442,Zn2 Cr4 O8,1.0532,160
443,La2 Mg2 Cr2 Ni2 O12,0.0,7
444,La2 Ta2 Zn2 Cr2 O12,1.8525,7
445,La2 Zn2 Cr2 Bi2 O12,0.8994999999999997,7
446,Se1 Cd1,0.0,225
447,Mn1,0.0,229
448,Mn1 Ni1 Ge1,0.0,216
449,Se2 Yb2,2.2565999999999997,194
450,Mn2 Cu1 Ge1,0.0,216
451,Tm1,0.0,229
452,U2 Te2 P2,0.0,1
453,O2 Pd4,0.0,224
454,Mg12 Si12,0.0,2
455,Mg6 Si6,0.0,2
456,Mg12 Si12,0.0,11
457,Dy1,0.0,229
458,Er1,0.0,229
459,La4 Ag4 O10,0.0,46
460,Ba4 Sr28 Ti24 Mn8 O80,0.0,1
461,La6 Sm2 Co7 Ag1 O24,0.0,38
462,Sm4 Cu4 O10,0.0,46
463,La7 Sm1 Ni6 Ag2 O24,0.0,38
464,La16 Sm16 Ni28 Ag4 O80,0.0,1
465,Ho2 Sn2 Au2,0.0,194
466,Mg2 In4,0.0,227
467,Ti2 S4,0.23039999999999994,194
468,Ce2 Al2 Ir2,0.0,194
469,Pr2 Cr1 Se4,0.0,12
470,Ag2 I1 O6,0.0,148
471,Mg7 Nb1,0.0,225
472,Tb2 B4 C4,0.0,131
473,Sr2 Y1 Cr1 O6,0.0,225
474,Ge8,0.0,206
475,Bi4 O6,0.0,132
476,Fe4 N8,0.0,58
477,Ce2 Se4,0.5425999999999997,58
478,Np4 In2 Pd4,0.0,127
479,Ti4 H3 Pd2,0.0,123
480,U2 Cu2 Bi4,0.0,129
481,Ho2 B4 C4,0.0,131
482,Al1 Au1,0.0,221
483,Zn1 Ga2 S4,0.0,160
484,Zn2 Ga4 S8,0.00010000000000021103,186
485,Zn2 Ga4 S8,0.001100000000000101,8
486,Zn4 Ga8 S16,1.2869000000000006,62
487,Nb2 C2,0.0,194
488,Ce16 Se32,0.4682999999999997,14
489,La2 Mg4,0.0,189
490,Hf3 Mg3,0.2010000000000005,166
491,Mg4 Sn2,0.0,194
492,Mg8 Sn4,0.0,12
493,Sr4 Mg8,0.0,63
494,Mg2 Ti6,0.0,44
495,Y3 Mg3,0.0,166
496,Mg2 Ti6,0.0,59
497,Mg2 Zn4,0.0,194
498,Mg8 Ti6,0.0,176
499,Y3 Mg3,0.0,187
500,Mg4 Sb4,0.0,12
501,Mg3 Ga3,0.0,187
502,Mg2 Sn2,0.0,164
503,Mg1 Ti3,0.0,25
504,Mg2 Sb2,0.0,51
505,Sn2 I6,0.0,140
506,Fe5 O7,0.0,12
507,Sm4 Mn8,0.0,63
508,Al4 Zn2 S8,0.0,164
509,Ca4 Fe4 O10,0.4973000000000001,31
510,K4 Fe4 O12,0.4780000000000001,62
511,La2 Fe2 O5,0.7647000000000004,1
512,Mg30 Sn1 Bi1 O32,0.0,123
513,Ba1 Mg30 Nb1 O32,0.0,123
514,Ce1 Mg14 Bi1,0.0,187
515,Ca1 Ce1 Mg6,0.0,38
516,Y1 Mg6 Ga1,0.0,38
517,Ce1 Mg6 Zn1,0.0,38
518,Ce1 Mg6 Cu1,0.0,38
519,La1 Mg6 Ga1,0.0,38
520,Ce1 Mg6 Ga1,0.0,38
521,Na1 V1 O3,0.22519999999999962,221
522,La28 Sm4 Ni24 Ag8 O80,0.0,1
523,La7 Sm1 Mn5 Fe3 O24,0.0,8
524,K4 Na28 V24 Cr8 O80,0.03399999999999981,1
525,Ca12 Sn12 S36,1.4083999999999999,2
526,Ca2 Sn8 S18,0.0,13
527,Ca8 Sn12 S32,1.3209000000000004,4
528,Ca8 Sn12 S32,1.3506999999999998,14
529,Li9 Mn2 Co5 O16,0.0,10
530,Mg8 Si6,0.0,1
531,Ca12 Sn20 S52,1.3729,14
532,U10 As6 Se4,0.0,87
533,Tl90 Sb10 Te60,0.5366999999999997,85
534,Sn4 P6 O20,0.0,15
535,Ni12 P16 O60,0.009899999999999992,33
536,Ti4 Cu2 S8,0.0,43
537,Sm3 Mn4 Sn4,0.0,71
538,Zn4 Se8,0.8048000000000002,205
539,Cu4 Cl2 O6,0.0,11
540,Sm4 Mn8,0.0,63
541,Zn4 Si2 O9,0.13230000000000008,44
542,Fe2 Si2 Sb1 O9,0.10139999999999993,8
543,Ho4 Co3 B6,0.0,166
544,Fe2 S2 O10,0.20039999999999997,15
545,Pu12 Fe2,0.0,140
546,Ca4 Cr4 O10,0.7249999999999996,46
547,K4 Se8 O4,0.051799999999999846,7
548,K2 Rb1 Pr1 F6,5.0906,225
549,Rb2 Na1 Ta1 I6,0.0,225
550,Na3 In1 Cl6,3.1183,225
551,Na3 Sc1 Br6,3.0712,225
552,Na3 Sc1 I6,2.1552000000000002,225
553,K3 Mo1 I6,1.4013000000000002,225
554,Cs2 K1 Ta1 F6,0.0,225
555,Na2 Lu1 Cu1 Cl6,1.6528999999999998,225
556,K1 Na2 Ga1 F6,4.9444,225
557,Na2 Al1 Cu1 F6,0.2256999999999998,225
558,K2 Y1 In1 F6,3.2878999999999996,225
559,K2 Na1 Au1 Cl6,0.0,225
560,Na2 Ag1 As1 Br6,0.6909000000000001,225
561,K2 Na1 Au1 Br6,0.0,225
562,Na2 Cu1 Au1 F6,0.0,225
563,K2 Tl1 Au1 F6,0.0,225
564,Rb2 Y1 Au1 F6,1.5144,225
565,Na3 Al1 Cl6,4.0067,225
566,Na2 Li1 Sb1 Cl6,2.9225000000000003,225
567,Tb1 Na2 Cu1 Cl6,1.4922,225
568,Na2 Cu1 Sb1 Cl6,0.6409000000000002,225
569,Na2 Ag1 Au1 Cl6,0.0,225
570,Na2 Ag1 As1 Cl6,1.1729,225
571,Na2 Li1 Y1 Br6,3.1247,225
572,Cs1 Rb2 Ga1 Br6,2.3691000000000004,225
573,Na3 Gd1 Cl6,3.004,225
574,K2 Sc1 Hg1 F6,0.0,225
575,K2 Y1 Hg1 I6,0.0,225
576,Cs1 K2 Al1 I6,2.1345,225
577,Tb1 K2 Au1 Cl6,2.0558,225
578,K2 Gd1 Au1 Cl6,1.4942,225
579,K2 In1 Sb1 F6,1.8032000000000004,225
580,Cs1 K2 Y1 F6,5.0793,225
581,K2 Al1 Au1 I6,0.0,225
582,Cs2 Cu1 Mo1 I6,0.07100000000000017,225
583,Cs2 Ga1 Au1 Br6,0.0,225
584,Rb2 Pr1 Au1 Cl6,2.1519,225
585,Rb2 La1 Au1 Cl6,2.2794999999999996,225
586,Na3 Sm1 Cl6,3.8194,225
587,K1 Rb2 Au1 Br6,0.0,225
588,K1 Rb2 Ga1 I6,0.8349,225
589,Ca1 Fe1 W1 O6,0.0,216
590,Tl2 Cl3,0.0,166
591,Na8 Co16 Bi8 O48,0.0,146
592,Tb1,0.0,229
593,Na4 Cu2 I4 Cl4,0.0,123
594,Fe8 As12 O48,0.005900000000000016,14
595,In4 As2 Se2,0.0,122
596,Sr4 N3,0.017599999999999838,1
597,Na18 O3,0.0,35
598,Na5 Ca4 Al13 Si11 O48,2.3266,1
599,Li5 Mn2 Co1 O8,0.0,2
600,Li5 Mn2 Co1 O8,0.0,2
601,Li7 Mn2 Co3 O12,0.0,2
602,Li7 Mn5 O12,0.0,12
603,Li7 Fe5 O16,0.0,1
604,Li8 Ti4 Co14 O36,0.0,55
605,In1 Fe17 O24,1.0363000000000002,1
606,Hf4 Ni4 O12,3.0626000000000007,14
607,Cr6 O6,0.49789999999999957,1
608,Cr2 Fe3 Sb1 P6 O24,0.0,146
